Lamball,Lamball,Lamball,Mau,Vixy,Lifmunk,Hoocrates,Foxparks,Lifmunk,Jolthog,Ribbuny,Sparkit,Verdash,Hangyu,Hangyu,Pengullet,Cattiva,Lifmunk,Mau,Lifmunk,Cattiva,Pengullet,Swee,Bristla,Tocotoco,Depresso,Mau,Cremis,Wixen,Kelpsea,Flambelle,Jolthog,Woolipop,Foxparks,Flopie,Killamari,Vixy,Vixy,Loupmoon,Caprity,Fuack,Dazzi,Wixen,Nox,Woolipop,Woolipop,Yakumo,Hoocrates,Tocotoco,Galeclaw,Galeclaw,Fenglope,Rushoar,Nox,Kelpsea Ignis,Killamari,Swee,Dazzi,Rushoar,Tanzee,Smokie,Daedream,Kelpsea,Tanzee,Kelpsea Ignis,Dumud,Verdash,Depresso,Lovander,Rushoar,Rushoar,Cawgnito,Lunaris,Eikthyrdeer,Digtoise,Nox,Lunaris,Maraith,Lunaris,Tocotoco,Killamari,Killamari,Maraith,Rushoar,Robinquill,Felbat,Ribbuny,Wixen,Lunaris,Dazzi,Lifmunk,Direhowl,Vaelet,Direhowl,Direhowl,Digtoise,Eikthyrdeer,Gobfin,Cawgnito,Bristla,Ribbuny,Daedream,Kelpsea,Loupmoon,Felbat,Felbat,Jolthog,Jolthog,Fenglope,Chillet,Dinossom,Gobfin,Beegarde,Reindrix,Celaray,Wixen,Rooby,Kikit,Dumud,Digtoise,Fenglope,Loupmoon,Melpaca,Reindrix,Loupmoon,Fenglope,Lullu,Celaray,Fuddler,Maraith,Gumoss,Mozzarina,Lullu,Rayhound,Rayhound,Kitsun,Tarantriss,Dinossom,Broncherry,Broncherry,Robinquill,Melpaca,Melpaca,Foxcicle,Tombat,Kitsun,Broncherry,Digtoise,Eikthyrdeer,Broncherry,Chillet,Foxcicle,Petallia,Foxcicle,Croajiro,Arsox,Petallia,Rayhound,Rayhound,Mozzarina,Rushoar,Woolipop,Gobfin,Lunaris,Swee,Felbat,Mozzarina,Celaray,Dazzi,Beegarde,Beegarde,Tocotoco,Fenglope,Loupmoon,Celaray,Gobfin,Eikthyrdeer,Digtoise,Pengullet,Maraith,Vaelet,Gobfin,Maraith,Caprity,Dinossom,Lunaris,Direhowl,Verdash
Cattiva,Lamball,Cattiva,Mau,Vixy,Lifmunk,Depresso,Foxparks,Lifmunk,Pengullet,Ribbuny,Flambelle,Verdash,Hangyu,Sparkit,Pengullet,Cremis,Lifmunk,Mau,Hangyu,Cattiva,Tocotoco,Killamari,Bristla,Tocotoco,Jolthog,Lamball,Vixy,Wixen,Kelpsea,Foxparks,Jolthog,Woolipop,Hoocrates,Kelpsea Ignis,Flopie,Lifmunk,Vixy,Yakumo,Eikthyrdeer,Bristla,Woolipop,Wixen,Nox,Woolipop,Nox,Lovander,Depresso,Fuack,Galeclaw,Robinquill,Fenglope,Kikit,Nox,Kelpsea Ignis,Killamari,Swee,Dazzi,Rushoar,Smokie,Gumoss,Daedream,Tanzee,Smokie,Kelpsea,Dumud,Fenglope,Depresso,Caprity,Rushoar,Kikit,Beegarde,Lunaris,Mozzarina,Digtoise,Wixen,Lunaris,Maraith,Gobfin,Tocotoco,Killamari,Killamari,Rushoar,Rushoar,Felbat,Felbat,Swee,Rooby,Lunaris,Dazzi,Lifmunk,Direhowl,Galeclaw,Vaelet,Direhowl,Digtoise,Eikthyrdeer,Cawgnito,Cawgnito,Ribbuny,Swee,Fuddler,Kelpsea,Loupmoon,Felbat,Verdash,Jolthog,Jolthog,Fenglope,Croajiro,Dinossom,Gobfin,Direhowl,Celaray,Broncherry,Wixen,Maraith,Leezpunk,Melpaca,Digtoise,Loupmoon,Loupmoon,Reindrix,Reindrix,Loupmoon,Fenglope,Dumud,Celaray,Fuddler,Maraith,Daedream,Lullu,Dumud,Rayhound,Shroomer Noct,Tarantriss,Dinossom,Chillet,Broncherry,Digtoise,Robinquill,Melpaca,Melpaca,Prunelia,Tombat,Kitsun,Digtoise,Kitsun,Eikthyrdeer,Digtoise,Chillet,Foxcicle,Foxcicle,Foxcicle,Arsox,Petallia,Petallia,Shroomer Noct,Shroomer Noct,Lullu,Rushoar,Nox,Gobfin,Gobfin,Killamari,Felbat,Mozzarina,Broncherry,Dazzi,Direhowl,Beegarde,Fuack,Loupmoon,Loupmoon,Broncherry,Cawgnito,Mozzarina,Kitsun,Pengullet,Rushoar,Vaelet,Gobfin,Maraith,Caprity,Dinossom,Lunaris,Vaelet,Fenglope
Chikipi,Mau,Mau,Chikipi,Lamball,Vixy,Foxparks,Hangyu,Cremis,Jolthog,Fuack,Lifmunk,Felbat,Lifmunk,Lifmunk,Jolthog,Mau,Vixy,Teafant,Lifmunk,Mau,Jolthog,Bristla,Tocotoco,Jolthog,Foxparks,Teafant,Lamball,Woolipop,Flopie,Hangyu,Hoocrates,Dazzi,Sparkit,Killamari,Swee,Cattiva,Cattiva,Loupmoon,Yakumo,Tocotoco,Dazzi,Nox,Woolipop,Dazzi,Dazzi,Loupmoon,Flambelle,Pengullet,Vaelet,Galeclaw,Verdash,Maraith,Woolipop,Killamari,Ribbuny,Bristla,Fuddler,Maraith,Kelpsea,Kelpsea,Tanzee,Kelpsea Ignis,Kelpsea,Killamari,Eikthyrdeer,Felbat,Foxparks,Loupmoon,Maraith,Maraith,Gobfin,Rushoar,Caprity,Celaray,Woolipop,Leezpunk,Wixen,Leezpunk,Pengullet,Ribbuny,Swee,Wixen,Rooby,Galeclaw,Galeclaw,Bristla,Nox,Kikit,Fuddler,Vixy,Cawgnito,Direhowl,Beegarde,Cawgnito,Broncherry,Lovander,Lunaris,Gobfin,Fuack,Bristla,Smokie,Kelpsea Ignis,Fenglope,Robinquill,Robinquill,Depresso,Depresso,Felbat,Dinossom,Kitsun,Lunaris,Gobfin,Melpaca,Melpaca,Nox,Wixen,Rushoar,Mozzarina,Broncherry,Fenglope,Fenglope,Dumud,Dumud,Fenglope,Verdash,Eikthyrdeer,Melpaca,Gumoss,Wixen,Kelpsea,Eikthyrdeer,Eikthyrdeer,Prunelia,Prunelia,Digtoise,Digtoise,Tarantriss,Reindrix,Reindrix,Galeclaw,Lullu,Mozzarina,Petallia,Foxcicle,Digtoise,Reindrix,Digtoise,Caprity,Celaray,Dinossom,Petallia,Arsox,Arsox,Dinossom,Chillet,Croajiro,Tombat,Tombat,Eikthyrdeer,Maraith,Dazzi,Lunaris,Lunaris,Ribbuny,Robinquill,Caprity,Reindrix,Fuddler,Cawgnito,Gobfin,Pengullet,Fenglope,Fenglope,Reindrix,Lunaris,Caprity,Broncherry,Jolthog,Wixen,Direhowl,Lunaris,Wixen,Loupmoon,Kitsun,Rushoar,Beegarde,Felbat
Lifmunk,Vixy,Vixy,Lamball,Lifmunk,Hangyu,Jolthog,Depresso,Hangyu,Tocotoco,Killamari,Hoocrates,Fenglope,Foxparks,Foxparks,Tocotoco,Lifmunk,Sparkit,Cattiva,Flambelle,Vixy,Fuack,Flopie,Swee,Bristla,Jolthog,Cremis,Lifmunk,Maraith,Smokie,Depresso,Pengullet,Wixen,Jolthog,Kelpsea,Kelpsea,Lifmunk,Lifmunk,Caprity,Mozzarina,Ribbuny,Nox,Maraith,Wixen,Nox,Wixen,Eikthyrdeer,Jolthog,Bristla,Felbat,Felbat,Loupmoon,Lunaris,Wixen,Kelpsea,Kelpsea Ignis,Killamari,Woolipop,Leezpunk,Daedream,Fuddler,Dazzi,Daedream,Daedream,Tanzee,Reindrix,Fenglope,Jolthog,Eikthyrdeer,Lunaris,Lunaris,Direhowl,Gobfin,Dumud,Kitsun,Rooby,Gobfin,Rushoar,Cawgnito,Bristla,Kelpsea Ignis,Kelpsea Ignis,Kikit,Leezpunk,Verdash,Verdash,Killamari,Rushoar,Gobfin,Woolipop,Hangyu,Vaelet,Galeclaw,Galeclaw,Galeclaw,Tarantriss,Lullu,Direhowl,Direhowl,Killamari,Killamari,Dazzi,Gumoss,Lovander,Fenglope,Fenglope,Tocotoco,Pengullet,Loupmoon,Petallia,Croajiro,Beegarde,Vaelet,Digtoise,Digtoise,Maraith,Rushoar,Lunaris,Reindrix,Kitsun,Loupmoon,Caprity,Broncherry,Broncherry,Yakumo,Loupmoon,Melpaca,Digtoise,Dazzi,Rushoar,Fuddler,Melpaca,Melpaca,Shroomer,Shroomer,Dinossom,Chillet,Arsox,Digtoise,Digtoise,Felbat,Celaray,Celaray,Rayhound,Shroomer Noct,Dinossom,Digtoise,Dinossom,Dumud,Kitsun,Arsox,Tombat,Prunelia,Tombat,Petallia,Foxcicle,Foxcicle,Shroomer,Shroomer,Melpaca,Lunaris,Wixen,Cawgnito,Cawgnito,Flopie,Verdash,Melpaca,Digtoise,Woolipop,Vaelet,Vaelet,Bristla,Loupmoon,Caprity,Digtoise,Beegarde,Dumud,Dinossom,Tocotoco,Leezpunk,Galeclaw,Cawgnito,Rushoar,Eikthyrdeer,Chillet,Gobfin,Galeclaw,Fenglope
Foxparks,Lifmunk,Lifmunk,Vixy,Hangyu,Foxparks,Pengullet,Jolthog,Flambelle,Bristla,Flopie,Jolthog,Loupmoon,Depresso,Depresso,Bristla,Lifmunk,Foxparks,Vixy,Hoocrates,Lifmunk,Bristla,Kelpsea,Killamari,Ribbuny,Tocotoco,Lifmunk,Hangyu,Rushoar,Daedream,Jolthog,Tocotoco,Rooby,Jolthog,Smokie,Tanzee,Sparkit,Sparkit,Eikthyrdeer,Dumud,Killamari,Wixen,Rushoar,Maraith,Wixen,Maraith,Mozzarina,Pengullet,Swee,Verdash,Verdash,Yakumo,Gobfin,Maraith,Gumoss,Kelpsea,Kelpsea Ignis,Nox,Lunaris,Dazzi,Dazzi,Dazzi,Fuddler,Dazzi,Daedream,Broncherry,Loupmoon,Pengullet,Lullu,Lunaris,Gobfin,Galeclaw,Foxparks Cryst,Reindrix,Dinossom,Rushoar,Beegarde,Lunaris,Beegarde,Swee,Kelpsea,Kelpsea,Lunaris,Lunaris,Fenglope,Fenglope,Kelpsea Ignis,Kikit,Cawgnito,Wixen,Foxparks,Galeclaw,Felbat,Robinquill,Galeclaw,Dinossom,Melpaca,Vaelet,Vaelet,Flopie,Kelpsea Ignis,Woolipop,Fuddler,Eikthyrdeer,Fenglope,Loupmoon,Fuack,Tocotoco,Loupmoon,Foxcicle,Petallia,Direhowl,Galeclaw,Digtoise,Kitsun,Rushoar,Leezpunk,Gobfin,Broncherry,Dinossom,Caprity,Eikthyrdeer,Digtoise,Digtoise,Caprity,Lovander,Celaray,Kitsun,Woolipop,Leezpunk,Dazzi,Reindrix,Celaray,Nitemary,Nitemary,Croajiro,Arsox,Petallia,Kitsun,Tarantriss,Fenglope,Digtoise,Broncherry,Splatterina,Blazehowl,Chillet,Tarantriss,Chillet,Melpaca,Dinossom,Foxcicle,Shroomer Noct,Rayhound,Rayhound,Foxcicle,Tombat,Tombat,Katress,Katress,Celaray,Gobfin,Maraith,Direhowl,Direhowl,Kelpsea,Fenglope,Reindrix,Kitsun,Nox,Galeclaw,Galeclaw,Swee,Caprity,Eikthyrdeer,Kitsun,Vaelet,Reindrix,Chillet,Bristla,Lunaris,Robinquill,Direhowl,Lunaris,Dumud,Arsox,Cawgnito,Robinquill,Loupmoon
Foxparks Cryst,Hoocrates,Depresso,Foxparks,Jolthog,Pengullet,Foxparks Cryst,Bristla,Pengullet,Flopie,Daedream,Fuack,Mozzarina,Tocotoco,Fuack,Kelpsea Ignis,Depresso,Pengullet,Foxparks,Tocotoco,Depresso,Kelpsea Ignis,Fuddler,Gumoss,Kelpsea,Swee,Hoocrates,Jolthog,Gobfin,Nox,Bristla,Killamari,Lunaris,Ribbuny,Woolipop,Dazzi,Jolthog,Jolthog,Celaray,Digtoise,Tanzee,Leezpunk,Cawgnito,Gobfin,Lunaris,Lunaris,Broncherry,Ribbuny,Kelpsea,Loupmoon,Lovander,Dumud,Vaelet,Lunaris,Woolipop,Dazzi,Fuddler,Rushoar,Direhowl,Wixen,Wixen,Maraith,Nox,Wixen,Woolipop,Dinossom,Mozzarina,Swee,Broncherry,Vaelet,Vaelet,Verdash,Galeclaw,Kitsun,Petallia,Gobfin,Robinquill,Beegarde,Robinquill,Kelpsea,Dazzi,Dazzi,Direhowl,Direhowl,Caprity,Caprity,Daedream,Cawgnito,Galeclaw,Leezpunk,Pengullet,Fenglope,Loupmoon,Fenglope,Fenglope,Foxcicle,Digtoise,Felbat,Verdash,Daedream,Daedream,Maraith,Nox,Reindrix,Eikthyrdeer,Eikthyrdeer,Flopie,Killamari,Lullu,Shroomer,Shroomer Noct,Felbat,Verdash,Arsox,Arsox,Cawgnito,Beegarde,Vaelet,Dinossom,Foxcicle,Melpaca,Celaray,Chillet,Chillet,Reindrix,Melpaca,Dinossom,Arsox,Maraith,Beegarde,Wixen,Kitsun,Dinossom,Vanwyrm,Vanwyrm,Tombat,Rayhound,Shroomer Noct,Petallia,Petallia,Lovander,Chillet,Dinossom,Univolt,Dogen,Prunelia,Petallia,Prunelia,Kitsun,Petallia,Shroomer,Univolt,Katress,Univolt,Blazehowl,Katress,Katress,Vanwyrm,Vanwyrm,Tarantriss,Vaelet,Lunaris,Felbat,Robinquill,Dazzi,Eikthyrdeer,Kitsun,Arsox,Kikit,Fenglope,Verdash,Tanzee,Melpaca,Celaray,Arsox,Felbat,Kitsun,Foxcicle,Kelpsea Ignis,Direhowl,Fenglope,Robinquill,Direhowl,Digtoise,Rayhound,Galeclaw,Fenglope,Lullu
Fuack,Foxparks,Foxparks,Hangyu,Depresso,Jolthog,Bristla,Fuack,Jolthog,Killamari,Gumoss,Tocotoco,Eikthyrdeer,Pengullet,Tocotoco,Killamari,Hoocrates,Jolthog,Sparkit,Pengullet,Hoocrates,Flopie,Daedream,Kelpsea,Kelpsea Ignis,Ribbuny,Flambelle,Depresso,Lunaris,Woolipop,Tocotoco,Swee,Leezpunk,Bristla,Dazzi,Dazzi,Jolthog,Depresso,Reindrix,Broncherry,Kelpsea,Rushoar,Gobfin,Lunaris,Kikit,Lunaris,Reindrix,Bristla,Kelpsea Ignis,Loupmoon,Loupmoon,Mozzarina,Direhowl,Lunaris,Dazzi,Fuddler,Daedream,Rushoar,Beegarde,Nox,Nox,Wixen,Woolipop,Nox,Dazzi,Kitsun,Eikthyrdeer,Bristla,Celaray,Direhowl,Direhowl,Felbat,Vaelet,Digtoise,Arsox,Lunaris,Galeclaw,Cawgnito,Galeclaw,Kelpsea Ignis,Fuddler,Fuddler,Cawgnito,Beegarde,Yakumo,Lovander,Gumoss,Gobfin,Galeclaw,Rushoar,Jolthog,Verdash,Fenglope,Fenglope,Verdash,Petallia,Digtoise,Robinquill,Felbat,Smokie,Gumoss,Wixen,Woolipop,Melpaca,Caprity,Caprity,Killamari,Swee,Eikthyrdeer,Shroomer Noct,Tombat,Robinquill,Felbat,Chillet,Chillet,Broncherry Aqua,Gobfin,Direhowl,Tarantriss,Petallia,Dumud,Melpaca,Dinossom,Dinossom,Dumud,Lullu,Kitsun,Chillet,Rooby,Cawgnito,Wixen,Digtoise,Kitsun,Dogen,Dogen,Foxcicle,Prunelia,Rayhound,Croajiro,Arsox,Loupmoon,Dinossom,Dinossom,Univolt,Univolt,Foxcicle,Arsox,Foxcicle,Digtoise,Arsox,Rayhound,Katress,Nitemary,Katress,Splatterina,Blazehowl,Blazehowl,Dogen,Dogen,Kitsun,Direhowl,Leezpunk,Galeclaw,Galeclaw,Daedream,Lovander,Digtoise,Chillet,Rushoar,Verdash,Felbat,Kelpsea,Dumud,Reindrix,Chillet,Robinquill,Digtoise,Petallia,Killamari,Beegarde,Fenglope,Galeclaw,Cawgnito,Broncherry,Tombat,Vaelet,Verdash,Eikthyrdeer
Sparkit,Lifmunk,Lifmunk,Cremis,Hangyu,Flambelle,Pengullet,Jolthog,Sparkit,Fuack,Flopie,Depresso,Loupmoon,Hoocrates,Depresso,Bristla,Lifmunk,Foxparks,Vixy,Foxparks,Lifmunk,Bristla,Kelpsea Ignis,Killamari,Bristla,Pengullet,Vixy,Lifmunk,Rushoar,Daedream,Jolthog,Tocotoco,Wixen,Jolthog,Tanzee,Kelpsea,Hangyu,Hangyu,Eikthyrdeer,Dumud,Swee,Wixen,Rushoar,Maraith,Wixen,Rooby,Eikthyrdeer,Jolthog,Ribbuny,Felbat,Verdash,Loupmoon,Lunaris,Maraith,Smokie,Kelpsea,Kelpsea Ignis,Nox,Lunaris,Fuddler,Dazzi,Dazzi,Fuddler,Fuddler,Gumoss,Celaray,Loupmoon,Pengullet,Mozzarina,Lunaris,Lunaris,Vaelet,Gobfin,Melpaca,Tarantriss,Maraith,Cawgnito,Leezpunk,Beegarde,Ribbuny,Kelpsea,Kelpsea,Lunaris,Lunaris,Fenglope,Fenglope,Flopie,Rushoar,Cawgnito,Nox,Sparkit,Galeclaw,Robinquill,Galeclaw,Galeclaw,Dinossom,Dumud,Direhowl,Vaelet,Killamari,Flopie,Dazzi,Daedream,Caprity,Fenglope,Fenglope,Tocotoco,Tocotoco,Loupmoon,Foxcicle,Arsox,Direhowl,Galeclaw,Relaxaurus Lux,Digtoise,Rushoar,Kikit,Gobfin,Broncherry,Dinossom,Lovander,Eikthyrdeer,Digtoise,Digtoise,Caprity,Yakumo,Reindrix,Digtoise,Woolipop,Leezpunk,Dazzi,Reindrix,Reindrix,Blazehowl,Blazehowl,Chillet,Croajiro,Petallia,Kitsun,Kitsun,Verdash,Broncherry,Broncherry,Shroomer Noct,Shroomer,Chillet,Kitsun,Dinossom,Melpaca,Kitsun,Petallia,Rayhound,Tombat,Rayhound,Foxcicle,Prunelia,Tombat,Nitemary,Nitemary,Reindrix,Lunaris,Wixen,Direhowl,Beegarde,Kelpsea Ignis,Fenglope,Reindrix,Kitsun,Nox,Galeclaw,Vaelet,Swee,Lovander,Eikthyrdeer,Kitsun,Direhowl,Melpaca,Dinossom,Fuack,Lunaris,Robinquill,Beegarde,Leezpunk,Lullu,Arsox,Cawgnito,Galeclaw,Loupmoon
Tanzee,Jolthog,Pengullet,Jolthog,Tocotoco,Bristla,Flopie,Killamari,Fuack,Tanzee,Dazzi,Swee,Melpaca,Ribbuny,Swee,Smokie,Pengullet,Bristla,Jolthog,Bristla,Pengullet,Gumoss,Woolipop,Dazzi,Daedream,Kelpsea Ignis,Jolthog,Tocotoco,Direhowl,Rooby,Killamari,Kelpsea,Cawgnito,Killamari,Wixen,Nox,Tocotoco,Tocotoco,Digtoise,Dinossom,Fuddler,Gobfin,Vaelet,Beegarde,Gobfin,Cawgnito,Kitsun,Flopie,Daedream,Eikthyrdeer,Eikthyrdeer,Celaray,Robinquill,Beegarde,Wixen,Woolipop,Woolipop,Lunaris,Galeclaw,Rushoar,Rushoar,Kikit,Maraith,Rushoar,Wixen,Arsox,Reindrix,Kelpsea Ignis,Kitsun,Galeclaw,Robinquill,Loupmoon,Felbat,Chillet,Tombat,Direhowl,Verdash,Galeclaw,Verdash,Daedream,Nox,Nox,Galeclaw,Galeclaw,Lullu,Dumud,Dazzi,Vaelet,Felbat,Gobfin,Fuack,Loupmoon,Caprity,Yakumo,Loupmoon,Rayhound,Dinossom,Fenglope,Fenglope,Dazzi,Dazzi,Leezpunk,Maraith,Digtoise,Dumud,Melpaca,Kelpsea,Kelpsea,Reindrix,Univolt,Nitemary,Fenglope,Loupmoon,Foxcicle,Foxcicle,Direhowl,Vaelet,Robinquill,Arsox,Rayhound,Broncherry,Digtoise,Petallia,Foxcicle,Digtoise,Broncherry,Croajiro,Foxcicle,Lunaris,Vaelet,Rushoar,Chillet,Croajiro,Omascul,Omascul,Shroomer,Blazehowl,Katress,Prunelia,Tombat,Mozzarina,Petallia,Petallia,Nyafia,Bushi,Splatterina,Tombat,Shroomer Noct,Dinossom,Tombat,Katress,Vanwyrm,Dogen,Vanwyrm,Univolt,Dazemu,Dogen,Omascul,Omascul,Chillet,Robinquill,Cawgnito,Fenglope,Verdash,Woolipop,Dumud,Chillet,Prunelia,Gobfin,Loupmoon,Loupmoon,Fuddler,Broncherry,Digtoise,Prunelia,Fenglope,Chillet,Shroomer Noct,Tanzee,Galeclaw,Lovander,Verdash,Galeclaw,Tarantriss,Blazehowl,Felbat,Loupmoon,Reindrix
Rooby,Ribbuny,Ribbuny,Fuack,Killamari,Flopie,Daedream,Gumoss,Flopie,Dazzi,Rooby,Tanzee,Kitsun,Kelpsea,Kelpsea,Woolipop,Swee,Kelpsea Ignis,Bristla,Kelpsea Ignis,Swee,Woolipop,Maraith,Wixen,Woolipop,Fuddler,Bristla,Swee,Felbat,Lunaris,Tanzee,Fuddler,Galeclaw,Gumoss,Leezpunk,Rushoar,Killamari,Killamari,Arsox,Petallia,Nox,Vaelet,Felbat,Robinquill,Galeclaw,Galeclaw,Arsox,Daedream,Nox,Celaray,Celaray,Dinossom,Fenglope,Galeclaw,Leezpunk,Rushoar,Maraith,Vaelet,Fenglope,Gobfin,Gobfin,Cawgnito,Gobfin,Gobfin,Lunaris,Rayhound,Kitsun,Daedream,Petallia,Fenglope,Fenglope,Eikthyrdeer,Loupmoon,Prunelia,Katress,Robinquill,Loupmoon,Verdash,Yakumo,Nox,Rushoar,Rushoar,Verdash,Fenglope,Broncherry,Digtoise,Maraith,Felbat,Loupmoon,Vaelet,Flopie,Mozzarina,Melpaca,Dumud,Lullu,Univolt,Foxcicle,Caprity,Eikthyrdeer,Wixen,Maraith,Beegarde,Lunaris,Chillet,Digtoise,Digtoise,Dazzi,Dazzi,Kitsun,Nyafia,Vanwyrm,Caprity,Mozzarina,Shroomer,Blazehowl,Felbat,Verdash,Fenglope,Rayhound,Katress,Dinossom,Chillet,Shroomer Noct,Shroomer,Chillet,Dinossom,Tombat,Blazehowl,Beegarde,Verdash,Cawgnito,Prunelia,Tombat,Incineram,Incineram,Dazemu,Dogen,Nyafia,Blazehowl,Katress,Broncherry,Shroomer Noct,Rayhound,Incineram,Incineram,Univolt,Katress,Univolt,Foxcicle,Katress,Nyafia,Incineram,Omascul,Omascul,Bushi,Omascul,Omascul,Anubis,Anubis,Tombat,Fenglope,Galeclaw,Lovander,Lovander,Rushoar,Digtoise,Prunelia,Blazehowl,Vaelet,Mozzarina,Eikthyrdeer,Nox,Dinossom,Croajiro,Blazehowl,Caprity,Foxcicle,Univolt,Dazzi,Fenglope,Melpaca,Lovander,Verdash,Petallia,Vanwyrm,Loupmoon,Dumud,Kitsun
